year,title,pdf_url,reason
2014,3B-03 Exploration of methods for creating an interactive floor-based game for closed spaces with a demonstration of the Game Changer Suite,,missing pdf_url
2014,3B-04 モバイル拡張現実ディスプレイへの深度付き映像配信を用いた 空間記録再生システムの試作 –創造的認知実験支援システムに向けて–,,missing pdf_url
2014,3B-05 楽天技術研究所が取り組む研究事例の紹介,,missing pdf_url
2020,[N-03] （発表キャンセル）,,missing pdf_url
2020,[N-22] ラップバトルのための意味類似性を考慮したライム検索システム,,missing pdf_url
2020,[N-26] 糸状の内部支持構造を持つ高剛性インフレータブルの3Dプリント手法,,missing pdf_url
2005,Bubble Clusters: アイコンの空間的なまとまりを利用した情報管理機構,,missing pdf_url
2006,Pillow: ぬいぐるみ作成のためのインタラクティブな型紙デザイン,https://www.wiss.org/WISS2006Proceedings/papers-cready/Pillow_Interactive_Pattern_Design.pdf,HTTP 404
2006,PC上での活動履歴を活用するための3次元GUIによるタグ付けと閲覧手法,https://www.wiss.org/WISS2006Proceedings/demos-cready/A_tagging_and_browsing_method_by.pdf,HTTP 404
2006,スライド間の相関情報を用いたとぎれのないプレゼンテーション,https://www.wiss.org/WISS2006Proceedings/demos-cready/A_seamless_presentation_using_correlated.pdf,HTTP 404
2006,行動期間の抽出による体験獲得情報の想起支援システム,https://www.wiss.org/WISS2006Proceedings/demos-cready/System_for_Reminding_Obtained_Information.pdf,HTTP 404
2006,弱い紐帯に注目したコミュニケーションメディア「わくらわ」,https://www.wiss.org/WISS2006Proceedings/demos-cready/Wakurawa_Communication_media_focused.pdf,HTTP 404
2006,sunamoji: 指先ジェスチャ入力を用いたインタフェースの提案と試作,https://www.wiss.org/WISS2006Proceedings/demos-cready/sunamoji_A_finger_gesture_interface.pdf,HTTP 404
2006,安心のための不快なインタフェースの提案,https://www.wiss.org/WISS2006Proceedings/demos-cready/A_need_for_an_interface_causing_discomfort.pdf,HTTP 404
2006,Hands-Popie:両手の動きを利用した日本語入力手法,https://www.wiss.org/WISS2006Proceedings/demos-cready/Hands-PopieA_Japanese_input_System.pdf,HTTP 404
2007,ウェアラブル環境のための２つの加速度センサを用いた ポインティング方式,,missing pdf_url
2007,タイムラインリフレクター：時系列による活動プロセス振り返りツール,,missing pdf_url
2007,大規模社会ネットワークの３次元視覚化手法の提案,,missing pdf_url
2008,VocalFinder: 似た歌声の楽曲を探す音楽検索システム,,missing pdf_url
2008,MathMLを対象とした数式検索エンジンの実装,,missing pdf_url
2008,GPS画像マッピングツール,,missing pdf_url
2008,ビスケットワークショップ,,missing pdf_url
2008,ぐりぐり遠距離マッサージシステム,,missing pdf_url
2008,タスクをマップ化することで見える化するプロジェクト管理ソフトウェアの提案,,missing pdf_url
2008,オープンソースプレゼンテーションプラットフォーム「ことだま」で研究・開発しよう,,missing pdf_url
2008,HybridRecommender: 安心感と意外性を兼ね備えた音楽推薦システム,,missing pdf_url
2008,PhotoelasticTouch: 透明弾性体を用いたインタフェース,,missing pdf_url
2008,DashSearch: ダッシュボードウィジェットを用いたメタデータ検索,,missing pdf_url
2008,ピッケの「つくるえほん」,,missing pdf_url
2008,Comings and Goings: 駅の活動を表示する風ディスプレイ,,missing pdf_url
2008,オノマトペン,,missing pdf_url
2008,Webを用いた参加型プレゼンテーション,,missing pdf_url
2008,ソーシャルブックマーク上の少数ユーザ観測による流行予測,,missing pdf_url
2008,イスの振動を介した遠隔地間気配伝達システム,,missing pdf_url
2008,写真と落書きにもとづいた子供の共同創作支援,,missing pdf_url
2008,写真上の仮想会話における会話構造分析,,missing pdf_url
2008,NearMe: 簡易な手法による音環境の類似性を用いた会話場の認識,,missing pdf_url
2009,フットワークインタラクション：足情報を利用したインタラクション手法,,missing pdf_url
2009,ロボットを用いたデジタルスタンプラリー,,missing pdf_url
2009,投げメール: 位置情報と身体性を利用したコミュニケーション,,missing pdf_url
2009,イヤホンEOG,,missing pdf_url
2009,センサネットワークを利用した林業活動におけるウェアラブルシステムの構築,,missing pdf_url
2009,MIAOW ：「何時、何処で、誰と」付加情報を用いた大量個人画像の3次元一覧可視化手法,,missing pdf_url
2009,Lyricon -複数アイコンの自動選択による楽曲構成の可視化-,https://www.wiss.org/WISS2009Proceedings/posters/ppaper0044.pdf,HTTP 404
2009,司会進行を支援するウェアラブルMCシステムの設計と実装,,missing pdf_url
2009,映像と連動したインタラクティブパフォーマンスのための演者支援システムの設計と実装,,missing pdf_url
2009,Virtual Radio: 街中ミュージアムのためのモバイルタッチバネルインタフェース,,missing pdf_url
2009,高フレームレート提示を用いた周辺視野のみで知覚可能な運動知覚付与システム,,missing pdf_url
2009,プロジェクション鍵盤：アノテーション投影機能をもつ電子鍵盤楽器,,missing pdf_url
2009,EyeWish: 目を閉じることを利用したインタラクション手法,,missing pdf_url
2009,ソーシャル顔アイコン,,missing pdf_url
2009,Let's Get Together: 食材共有による近隣者用献立作成支援システム,,missing pdf_url
